Kabupaten_Kota,Nama_Bengkel,No_Telepon,Alamat,Kategori,Rating,Jam_Buka,Link_Maps
Denpasar,BENGKEL service motor panggilan 24 jam DENPASAR/BADUNG (seraya motor),0851-0708-4665,,Bengkel Sepeda Motor · Jl. Gunung Seraya No.9,"5,0",Buka 24 jam · 0851-0708-4665,https://www.google.com/maps/place/BENGKEL+service+motor+panggilan+24+jam+DENPASAR%2FBADUNG+%28seraya+motor%29/data=!4m7!3m6!1s0x2dd247c33e859403:0xb457393f073ae158!8m2!3d-8.663464!4d115.1819959!16s%2Fg%2F11lp7scvmj!19sChIJA5SFPsNH0i0RWOE6Bz85V7Q?authuser=0&hl=id&rclk=1
Denpasar,Bengkel Motor Panggilan 24jam(Iwan motor)DENPASAR/BADUNG,0813-3835-4028,,"Bengkel Sepeda Motor ·  · 86GG+9C5, Jl. Tukad Yeh Ho III","3,8",Buka 24 jam · 0813-3835-4028,https://www.google.com/maps/place/Bengkel+Motor+Panggilan+24jam%28Iwan+motor%29DENPASAR%2FBADUNG/data=!4m7!3m6!1s0x2dd2418e4a11fb71:0xe18a31a8d0029bc6!8m2!3d-8.674103!4d115.2261149!16s%2Fg%2F11s3bv8r7b!19sChIJcfsRSo5B0i0RxpsC0KgxiuE?authuser=0&hl=id&rclk=1
Denpasar,Bengkel Panggilan Motor 24jam (AjM)Denpasar/Badung,0812-3920-1309,,Bengkel Sepeda Motor · Jl. Kartini No.18a,"5,0",Buka 24 jam · 0812-3920-1309,https://www.google.com/maps/place/Bengkel+Panggilan+Motor+24jam+%28AjM%29Denpasar%2FBadung/data=!4m7!3m6!1s0x2dd241826f5db4b1:0x66098b5a4af9b423!8m2!3d-8.6546577!4d115.21329!16s%2Fg%2F11nc4s65tc!19sChIJsbRdb4JB0i0RI7T5SlqLCWY?authuser=0&hl=id&rclk=1
Denpasar,bengkel panggilan 24 jam BRYAN MOTOR,0857-0838-5681,,Bengkel Sepeda Motor · Jl. Monginsidi,"4,9",Buka 24 jam · 0857-0838-5681,https://www.google.com/maps/place/bengkel+panggilan+24+jam+BRYAN+MOTOR/data=!4m7!3m6!1s0x2dd241de14696231:0x556a809f15e29d64!8m2!3d-8.6686412!4d115.224623!16s%2Fg%2F11xms437_t!19sChIJMWJpFN5B0i0RZJ3iFZ-AalU?authuser=0&hl=id&rclk=1
Denpasar,"Bengkel panggilan ""berkah motor""",0859-4035-8185,,Bengkel Sepeda Motor · Gg. Menuri,"4,8",Buka 24 jam · 0859-4035-8185,https://www.google.com/maps/place/Bengkel+panggilan+%22berkah+motor%22/data=!4m7!3m6!1s0x2dd239001014ae03:0x1813c8286c330d5a!8m2!3d-8.6464791!4d115.1844892!16s%2Fg%2F11x2dtq0r_!19sChIJA64UEAA50i0RWg0zbCjIExg?authuser=0&hl=id&rclk=1
Denpasar,Bengkel panggilan agus 24 jam,0857-1556-9623,,Bengkel Sepeda Motor,"4,8",Buka 24 jam · 0857-1556-9623,https://www.google.com/maps/place/Bengkel+panggilan+agus+24+jam/data=!4m7!3m6!1s0x2dd241ccdea28e63:0x5ad61b8fa2128989!8m2!3d-8.665466!4d115.2027625!16s%2Fg%2F11ldknnsh4!19sChIJY46i3sxB0i0RiYkSoo8b1lo?authuser=0&hl=id&rclk=1
Denpasar,Bengkel Panggilan Ekho Motor,0812-3969-2206,,Bengkel Sepeda Motor · Gg. Kurma No.6x,"5,0",Buka · Tutup pukul 22.00 · 0812-3969-2206,https://www.google.com/maps/place/Bengkel+Panggilan+Ekho+Motor/data=!4m7!3m6!1s0x2dd2411cf70a4377:0xbacc4601271d9f64!8m2!3d-8.6606563!4d115.2449643!16s%2Fg%2F11vcv1b0b9!19sChIJd0MK9xxB0i0RZJ8dJwFGzLo?authuser=0&hl=id&rclk=1
Denpasar,Bengkel Novi Motor,0812-3277-8415,,Bengkel Sepeda Motor ·  · Jl. Sulatri No.19,"4,9",Buka · Tutup pukul 18.00 · 0812-3277-8415,https://www.google.com/maps/place/Bengkel+Novi+Motor/data=!4m7!3m6!1s0x2dd23f313e9caf03:0x2f10229cc4ac16a8!8m2!3d-8.640361!4d115.2422515!16s%2Fg%2F11tnxmtk0f!19sChIJA6-cPjE_0i0RqBasxJwiEC8?authuser=0&hl=id&rclk=1
Denpasar,Bengkel motor panggilan gatsu,0877-8778-1341,,Bengkel Sepeda Motor · Jl. Gatot Subroto I Gg. Mertasari No.B15,"4,7",Buka · Tutup pukul 17.00 · Buka kembali pukul 17.30 · 0877-8778-1341,https://www.google.com/maps/place/Bengkel+motor+panggilan+gatsu/data=!4m7!3m6!1s0x2dd23f1f004ee547:0x59b06b38b630286c!8m2!3d-8.6265057!4d115.2207718!16s%2Fg%2F11lcz5sl94!19sChIJR-VOAB8_0i0RbCgwtjhrsFk?authuser=0&hl=id&rclk=1
Denpasar,"Bengkel Motor Panggilan *""ERIK MOTOR""*",0877-5690-0010,,"Bengkel Sepeda Motor · sebelah bank urban) timurnya aiboo houseware, Jl. Gatot Subroto Barat No.170","5,0",Buka 24 jam · 0877-5690-0010,https://www.google.com/maps/place/Bengkel+Motor+Panggilan+*%22ERIK+MOTOR%22*/data=!4m7!3m6!1s0x2dd239f1865deb4b:0xab128656a3c79f8f!8m2!3d-8.6373403!4d115.1825761!16s%2Fg%2F11yj6jl450!19sChIJS-tdhvE50i0Rj5_Ho1aGEqs?authuser=0&hl=id&rclk=1
